title,authors,publishedDate,categories,description,averageRating,textSnippet,language
City of Fallen Angels,['Cassandra Clare'],2015-09,['Juvenile Fiction'],"As mysterious murders threaten the new peace between Shadowhunters and Downworlders, only Simon, the Daylighter vampire, can help bring both groups together.",3,N/A,en
The Magician's Nephew,['C. S. Lewis'],1994-06-25,['Juvenile Fiction'],The secret passage to the house next door leads to a fascinating adventure.,N/A,N/A,en
The Voyage of the Dawn Treader,['Clive Staples Lewis'],1980,['Juvenile Fiction'],"The ""Dawn Treader"" is the first ship Narnia has seen in centuries. King Caspian has built it for his voyage to find the seven lords, good men whom his evil uncle Mizaz banished when he usurped the throne. The journey takes Edmund, Lucy, and their cousin Eustace to the Eastern Islands, beyond the Silver Sea, toward Aslan's country at the End of the World. Illustrations.",N/A,N/A,en
Sylvie and Bruno Concluded,['Lewis Carroll'],1894,['Brothers and sisters'],"The sequel to Sylvie and Bruno, a fantasy of children finding adventure.",N/A,N/A,en
Harry Potter and the Deathly Hallows,['J. K. Rowling'],2007,['Juvenile Fiction'],"At a time when the forces of evil seem to be gaining the upper hand, Harry comes of age in the wizarding world, and must take on and defeat Voldemort--or be killed himself.",4.5,N/A,en
The Two Towers,['John Ronald Reuel Tolkien'],1997,['Fiction'],This title is also available as a film as a film - Part 2 of The lord of the rings.,4,N/A,en
Harry Potter et la coupe de feu,"['J. K. Rowling', 'Jean-François Ménard']",2001,['Juvenile Fiction'],"Harry Potter a quatorze ans et il entre en quatrième année au collège de Poudlard. Une grande nouvelle attend Harry, Ron et Hermione à leur arrivée : la tenue d'un tournoi de magie exceptionnel entre les plus célèbres écoles de sorcellerie. Déjà, les délégations étrangères font leur entrée. Harry se réjouit... Trop vite. Il va se trouver plongé au cœur des événements les plus dramatiques qu'il ait jamais eu à affronter. Fascinant, drôle, bouleversant, ce quatrième tome est le pilier central des aventures de Harry Potter.",4.5,N/A,fr
Tales from the Shadowhunter Academy,"['Cassandra Clare', 'Sarah Rees Brennan', 'Maureen Johnson', 'Robin Wasserman']",2016-11-15,['Juvenile Fiction'],"Collects short stories chronicling Simon's journey from amnesia to Ascension, as he works to regain his lost life while attending the Shadowhunter Academy.",4.5,N/A,en
City of Glass,['Cassandra Clare'],2015-09,['Juvenile Fiction'],Originally published in hardcover in 2009.,N/A,N/A,en
The Wizard of Oz,['Lyman Frank Baum'],1993,['Juvenile Fiction'],"A huge cyclone transports Dorothy and her little dog Toto to the Land of Oz, where she makes both an enemy and many friends as she travels to the Emerald City to see if the Wizard of Oz will help her to get back home again.",4.5,N/A,en
