title,authors,publishedDate,categories,description,averageRating,textSnippet,language
A Holiday of Love,"['Jude Deveraux', 'Arnette Lamb', 'Jill Barnett', 'Judith McNaught']",2005-10-25,['Fiction'],"In New York City in the late 1800s, a beautiful but clumsy angel turns a lonely man's life around.... In medieval Scotland, the intrigues of a Christmas Mass imperil two Highland lovers....In Regency London, a world-weary lord receives an outrageous proposal....And in modern-day Colorado, a clever twelve-year-old plays matchmaker for his bighearted but impractical mother.",N/A,N/A,en
Me Before You (Movie Tie-In),['Jojo Moyes'],2016-04-26,['Fiction'],"Taking a job as an assistant to extreme sports enthusiast Will, who is wheelchair bound after a motorcycle accident, Louisa struggles with her employer's acerbic moods and learns of his shocking plans before demonstrating to him that life is still worth living.",5,N/A,en
Prince Charming,['Julie Garwood'],1995-02,['Fiction'],"Beautiful Taylor Baker, whose fiance has eloped with her odious cousin and whose greedy uncle has his own plans for her, escapes to Montana with rough-edged American Lucas Ross.",5,N/A,en
Last Voyage of the Valentina,['Santa Montefiore'],2006-05-23,['Fiction'],"""Originally published in Great Britain in 2005 by Hodder and Stoughton""--T.p. verso.",N/A,N/A,en
Marriage Most Scandalous,['Johanna Lindsey'],2006-05,['Fiction'],"Set in Regency-era England, this latest historical romance by a ""New York Times"" bestselling author is the story of a spunky aristocratic lady and a brooding mercenary whose services come at a price.",N/A,N/A,en
Sunset in St. Tropez,['Danielle Steel'],2002,['Fiction'],"Taking a vacation together to grieve over the death of one of their group, five friends are dismayed by the ramshackle mansion they find instead of the garden villa they expected, and the unexpected appearance of the new girlfriend of the widowed husband.",4,N/A,en
9-Nov,['Colleen Hoover'],2016-10-04,['Fiction'],"When Fallon and aspiring novelist Ben meet and fall in love the day before Fallon's cross-country move, they vow to meet on the same date every year, until Fallon suspects Ben is fabricating their relationship to create the perfect plot twist.",4.5,N/A,en
Jane Eyre,['Charlotte Brontë'],2010,['Romance'],"Bronte's infamous Gothic novel tells the story of orphan Jane, a child of unfortunate circumstances. Raised and treated badly by her aunt and cousins and eventually sent away to a cruel boarding school, it is not until Jane becomes a governess at Thornfield that she finds happiness. Meek, measured, but determined, Jane soon falls in love with her brooding and stormy master, Mr Rochester, but it is not long before strange and unnerving events occur in the house and Jane is forced to leave Thornfield to pursue her future.",N/A,N/A,en
Toxic Bachelors,['Danielle Steel'],2005,['Fiction'],"Three daunting bachelors embark on a journey to the Mediterranean where they face women who challenge their deepest relationship phobias, sparking big changes in the once-carefree trio that just might put an end to their carousing days.",5,N/A,en
Special Delivery,['Danielle Steel'],1997,['Fiction'],"Tells the story of Jack Watson, a wealthy Beverly Hills businessman and widower, who falls in love with his daughter-in-law's mother and together they discover a relationship marked by challenges and surprises.",N/A,N/A,en
Love Only Once,['Johanna Lindsey'],1985,['England'],"The exquisite niece of Lord Edward and Lady Charlotte Malory, Regina Ashton is outraged over her abduction by the arrogant, devilishly handsome Nicholas Eden, and is determined to make the rogue pay, with his heart.",5,N/A,en
Pride and Prejudice,['Jane Austen'],1980,['Fiction'],The text of Pride and Prejudice is the 1813 first edition text.,N/A,N/A,en
Above and Beyond,['Sandra Brown'],1986,['Fiction'],Trevor's love for Kyla--the widow of his best friend--is complicated by a secret that threatens to destroy their fragile relationship,N/A,N/A,en
Simple Gifts,"['Judith McNaught', 'Jude Deveraux']",2001-12,['Fiction'],4 Heartwarming Christmas Stories.,N/A,N/A,en
Second Chance,['Danielle Steel'],2004,['Fiction'],"Freewheeling fashion magazine editor Fiona Monaghan meets her match--and opposite--in conservative widower John Anderson, who accompanies her to a Paris couture show and unexpectedly steals her heart, a development that prompts both to adapt their contrasting lifestyles. 900,000 first printing.",5,N/A,en
A Man to Call My Own,['Johanna Lindsey'],2004-04,['Fiction'],"Charismatic twins Amanda and Marlan Laton, sent to live with their aunt on a sprawling 1870s Texas ranch, find themselves competing for the love of cowboy neighbor Chad Kinkaid.",N/A,N/A,en
A Loving Scoundrel,['Johanna Lindsey'],2004,['Fiction'],"Danny grew up on the streets of London as a pickpocket, but Jeremy Malory rescues her and hires her as his upstairs maid.",N/A,N/A,en
