title,authors,publishedDate,categories,description,averageRating,textSnippet,language
QBD Murder on the Orient Express,['Agatha Christie'],2015-06-08,[],N/A,N/A,N/A,en
The Da Vinci Code,['Dan Brown'],2004,['Fiction'],"Harvard professor Robert Langdon receives an urgent late-night phone call while on business in Paris: the elderly curator of the Louvre, Jacques Sauni're, has been brutally murdered inside the museum. Alongside the body, police have found a series of baffling codes. As Langdon and a gifted French cryptologist, Sophie Neveu, begin to sort through the bizarre riddles, they are stunned to find a trail that leads to the works of Leonardo Da Vinci - and suggests the answer to a mystery that stretches deep into the vault of history. Langdon suspects the late curator was involved in the Priory of Sion - a centuries old secret society - and has sacrificed his life to protect the Priory's most sacred trust: the location of a vastly important religious relic hidden for centuries. But it now appears that Opus Dei, a clandestine sect that has long plotted to seize the Prirory's secret, has now made its move. Unless Langdon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever. Breaking the mould of traditional suspense novels, The DA VINCI CODE is simultaneously lightning-paced, intelligent and intricately layered with remarkable research and detail. And in this exclusive edition Dan Brown allows the reader behind the scenes of the novel which now incorporates over 150 photographs and illustrations throughout the text showing the rich historical tapestry from which he drew his inspiration. The visual sources which provide both the backdrop and the stimulus for the novel's action are revealed for the first time and uniquely complement the reading experience.",5,N/A,en
The Invisible Man,"['Len Jenkin', 'Herbert George Wells']",2000,['Drama'],N/A,N/A,N/A,en
The Curious Incident of the Dog in the Night-time,['Mark Haddon'],2003,['Fiction'],"YA. Murder mystery. Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbour's dog and uncovers secret information about his mother. Whitbread book of the year 2003. WAYRBA list 2005.",4.5,N/A,en
The Black Tower,['P.D. James'],2001-10-02,['Fiction'],"Adam Dalgliesh responds to an invitation to visit an old family friend, the chaplain at a private home for the disabled in Dorset. On arrival he discovers that his host has died suddenly.",N/A,N/A,en
Crime and Punishment,['Fyodor Dostoyevsky'],1955,['Fiction'],Introduction by W. J. Leatherbarrow; Translation by Richard Pevear and Larissa Volokhonsky Copyright © Libri GmbH. All rights reserved.,N/A,N/A,en
The ABC Murders,['Agatha Christie'],1993,"['Detective and mystery stories, English']","When Alice Ascher is murdered in Andover, Hercule Poirot is already onto the clues. Alphabetically speaking, it's one down, 25 to go. This classic mystery is now repackaged in a digest-sized edition for young adults. Reissue.",N/A,N/A,en
The House at Riverton,['Kate Morton'],2009-03-03,['Fiction'],Ninety-eight-year-old Grace Bradley is visited by a young director who takes her back to Riverton House where she reveals the secret behind the death of a young poet in the summer of 1924.,3,N/A,en
Robinson Crusoe,"['Daniel Defoe', 'D. K. Swan']",1976,['Fiction'],"A simplified version of the experiences of an Englishman stranded by shipwreck on a desert island, where he survives for some thirty years.",N/A,N/A,en
The Golden Ball and Other Stories,['Agatha Christie'],1987,['Fiction'],"It was an offer the St. Vincent family could not refuse--a splendid mansion, complete with servants, with nothing asked for in return! But young Rupert St. Vincent suspected a sinister trap...",N/A,N/A,en
The Daughter of Time,['Josephine Tey'],1988,['Fiction'],A hospitalized English policeman reconstructs historical evidence concerning Richard III's role in the murder of Edward IV's two sons.,N/A,N/A,en
My Name is Red,['Orhan Pamuk'],2001,['Art'],"In the late 1590s, the Turkish Sultan secretly commissions an illuminated book: a celebration of his life and his empire. At a time of violent fundamentalism, however, this is a dangerous proposition. Then one of the miniaturists is murdered. The Sultan demands an answer within three days.",N/A,N/A,en
The No. 1 Ladies' Detective Agency,['Alexander McCall Smith'],1998,['Fiction'],"Set in Africa, with an engaging heroine who could give Miss Marple a run for her money.",N/A,N/A,en
The Surgeon,['Tess Gerritsen'],2001,['Fiction'],"Dr. Catherine Cordell investigates when a murderer referred to by the press and the public as ""The Surgeon"" strikes with a precision that suggests he is a deranged man of medicine.",N/A,N/A,en
Evil Under the Sun,['Agatha Christie'],1941,['Fiction'],"The Queen of Mystery has come to Harper Collins! Agatha Christie, the acknowledged mistress of suspense—creator of indomitable sleuth Miss Marple, meticulous Belgian detective Hercule Poirot, and so many other unforgettable characters—brings her entire oeuvre of ingenious whodunits, locked room mysteries, and perplexing puzzles to Harper Paperbacks. The classic Evil Under the Sun, one of the most famous of Christie’s Poirot investigations, has the fastidious sleuth on the trail of the killer of a sun-bronzed beauty whose death brings some rather shocking secrets into the light.",N/A,N/A,en
Rebecca,['Daphne Du Maurier'],1993,['Fiction'],A true classic of suspense in a beautiful new package for a whole new generation of readers.,4,N/A,en
Cards on the Table,['Agatha Christie'],1993,['Fiction'],"Mr. Shaitana is a strange and wealthy collector of snuff boxes and other objets d'art. One evening he invites two specialists, Superintendent Battle of Scotland Yard and crime novelist Ariadne Oliver, to a dinner party to view his special collection: four people who have committed murder and gotten away with it. As they play bridge after dinner, Shaitana is daringly murdered by someone at the party. Battle sets out to solve the crime aided, of course, by the eager Mrs. Oliver who begins with psychological deductions from the bridge score cards. After many red herrings, skeletons in the cupboard and two more deaths, Battle lays his cards on the table.",N/A,N/A,en
Blessed Are Those Who Thirst,['Anne Holt'],2012-12-18,['Fiction'],Criminal investigating officer Hanne Wilhelmsen considers the possibility of a serial killer as she tracks down a series of numbers written in blood appearing on walls all over Oslo.,N/A,N/A,en
The Clocks,['Agatha Christie'],1983-04,['Fiction'],"Hercule Poirot, the relentless Belgian detective, investigates when a body is found in Miss Millicent Pebmarsh's sitting room with four strange clocks set at 4:13.",N/A,N/A,en
And Then There Were None,['Agatha Christie'],2000-10,['Detective and mystery stories'],"""First, there were ten - a curious assortment of strangers summoned as weekend guests to a private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal - and a secret that will seal their fate. For each has been marked for murder, and one by one they begin to fall prey to an unseen hand. As the only people on the island, unable to leave and unable to call for help, they know that the only possible suspects are among their number. And only the dead are above suspicion.""--BOOK JACKET.",N/A,N/A,en
4.50 from Paddington,['Agatha Christie'],1987,['Fiction'],"Elspeth looked out the train window into the train drawing alongside, and was horrified to see a man strangling a woman. The body crumpled, and then the other train drew away. But no one believed Elspeth's story--except her friend Miss Marple.",4,N/A,en
Missing Joseph,['Elizabeth George'],1993,['Fiction'],"When the vicar who has given her so much support is found dead, Deborah St. James begins a journey of personal discovery in order to find out who is responsible",4,N/A,en
The Runaway Jury,['John Grisham'],1997,['Fiction'],The jury in a Mississippi tobacco trial appears to be manipulated and controlled.,3,N/A,en
Contest,['Matthew Reilly'],2006,['Fiction'],"From the ""New York Times"" bestselling author of ""Scarecrow"" comes an action-packed novel about a doctor and his daughter trapped in New York's Public Library by a contest with a fatal outcome. Martin's Press.",4.5,N/A,en
Tuesday,['David Wiesner'],1991,['Juvenile Fiction'],"Frogs rise on their lily pads, float through the air, and explore the nearby houses while their inhabitants sleep.",3,N/A,en
The Road to Gandolfo,['Robert Ludlum'],1982,['Fiction'],"A wickedly funny Robert Ludlum you've never met before. All the explosive paving of ""The Bourne Identity,"" the Byzantine treachery of ""The Parsifal Mosaic,"" the relentless action of ""The Bourne Ultimatum."" The Principal Cast: General Mackenzie Hawkings, legend, hero, rogue. Sam Devereaux, bright young lawyer from Harvard, now in the army, can't wait to get out. General Hawken's four ex-wives, a quartet of incredibly endowed women who've formed a club: Hawkin's Harem. The Premise: Kidnap Pope Francesco I, the most beloved pontiff since John XX III. Ransom: One American dollar for every Catholic in the world. The Problem: Pope Francesco I says: "" Gentle souls, why not?""",N/A,N/A,en
Hercule Poirot's Christmas,['Agatha Christie'],1987,['Fiction'],"Christmas Eve, and the Lee family¿s reunion is shattered by a deafening crash of furniture and a high-pitched wailing scream. Upstairs, the tyrannical Simeon Lee lies dead in a pool of blood, histhroat slashed. When Hercule Poirot offers to assist, he finds an atmosphere not of mourning but of mutual suspicion. It seems everyone had their own reason to hatethe old man. . . .",N/A,N/A,en
